metric_id,category,metric_name,target_value,unit,test_method,source_req,source_sc,verify_stage
M-001,处理器性能,CoreMark 得分,"2.4","分 (@50 MHz)","仿真: riscv 工具链编译 CoreMark 固件, Verilator+cocotb 运行计分 @50MHz",REQ-013,SC-01,D
M-002,时钟/Fmax,系统运行时钟 Fsys,"50 (10-50 可配)","MHz","仿真: @50MHz 全功能回归; 综合后 STA 复核",REQ-010;REQ-013,SC-01,D/E/F
M-003,时钟/Fmax,综合后 Fmax,"50","MHz","逻辑综合 E3: yosys 综合 DRC clean + 延迟估算(降级); 工艺库就绪后 Primetime STA 全角 WNS/TNS>=0 @50MHz(正式)",REQ-013;REQ-016,SC-01,E/F
M-004,UART,波特率范围,"9600-921600","bps","仿真: 分频配置遍历 + 波形测量; 验收点 115200",REQ-002,SC-02,D
M-005,UART,双向吞吐,"115200","bps","仿真: 115200bps 连续 100KB 双向传输零丢失 (cocotb 回环 + 主机联调)",REQ-002,SC-02,D
M-006,SPI,SCLK 最高频率,"12.5","MHz","仿真: SCLK 波形测量 (Fsys/4 分频配置)",REQ-005,SC-05,D
M-007,SPI,连续传输正确性,"1KB 零错误","字节","仿真: SPI 从设备模型对拍",REQ-005,SC-05,D
M-008,IIC,传输速率,"100 / 400 (标准/快速)","kbps","仿真: SCL 波形测量 (模式配置遍历)",REQ-006,SC-06,D
M-009,PWM,占空比分辨率,"8 (0-255 级)","bit","仿真: 波形测量, 含 0%/100% 边界",REQ-007,SC-07,D
M-010,PWM,输出频率范围,"1k-1M","Hz","仿真: 周期配置遍历 + 波形测量",REQ-007,SC-07,D
M-011,时延,中断响应时延,"30","系统时钟周期 (@50MHz=600ns)","仿真: 外部中断置起->ISR 首指令时间戳差",REQ-008,SC-08,D
M-012,时延,定时器周期中断精度,"1","时钟周期","仿真: 配置周期 vs 中断触发时间戳差",REQ-009,SC-08,D
M-013,时延,固件启动时延,"5","ms","仿真: 复位释放->固件首指令 (SPI Flash 模型加载 64KB, @50MHz)",REQ-011;REQ-010,SC-01,D
M-014,时延,AXI_SRAM 单次读时延(经桥),"10","系统时钟周期","仿真: 核发 RIB 读->数据返回时延测量",REQ-018,SC-10,D
M-015,面积,逻辑面积预算(不含 SRAM),"50000","等效 NAND2 门","逻辑综合报告 (E3, yosys/DC)",REQ-016,SC-01,E
M-016,功耗,运行态功耗预算,"50","mW","功耗分析 (F4 Primetime PX / 综合后功耗估算; 工艺库就绪后正式测量)",REQ-014,SC-09,F4/E3
M-017,功耗,空闲态功耗预算,"10","mW","功耗分析 (同 M-016, 空闲模式测量)",REQ-014,SC-09,F4
M-018,时延,低功耗唤醒时延,"10","us","仿真: 空闲->事件唤醒->恢复运行时间戳差",REQ-014,SC-09,D
M-019,中断,中断源数量,"6 (外部>=4 + 定时器1 + 软件1)","路","接口检查 + 仿真逐源触发验证",REQ-008;REQ-009,SC-08,D
M-020,GPIO,GPIO 通道数,"16","路","接口检查 + 仿真输出/输入/中断路径验证",REQ-019;REQ-012,SC-11,D
