mem_id,region,name,base_addr,size,width,access,block,mapped,note,uc_ref
MEM-01,RIB,Boot ROM,0x00000000,0x1000,32,RO,BLOCK-12,yes,复位取指入口; 含 bootloader 启动代码 (FS-001); 容量若超 4KB 需 B2 量化调整,UC-BOOT-001/003/004
MEM-02,RIB,RIB 保留区,0x00001000,0x1FFFF000,32,-,BLOCK-02,yes,保留地址空洞; 访问返回总线错误,UC-BUS-001
MEM-03,AXI,AXI_SRAM,0x20000000,0x10000,32,R/W,BLOCK-14,yes,运行数据/固件加载目标 (FS-011, REQ-011); 容量方案 B2 量化 (64KB 支撑 PPAC-013 镜像),UC-BOOT-001~004;UC-BUS-001
MEM-04,AXI,AXI 保留区,0x20010000,0x1FFF0000,32,-,BLOCK-02,yes,保留地址空洞; 访问返回总线错误,-
MEM-05,AXI,UART,0x40000000,0x1000,32,R/W,BLOCK-03,yes,外设寄存器空间 (FS-002, PPAC-004/005),UC-UART-001~003;UC-DEMO-001
MEM-06,AXI,SPI,0x40001000,0x1000,32,R/W,BLOCK-05,yes,寄存器空间; SPI Flash PIO 访问通道 (FS-005, PPAC-006/007),UC-SPI-001~003;UC-BOOT-004
MEM-07,AXI,IIC,0x40002000,0x1000,32,R/W,BLOCK-06,yes,寄存器空间 (FS-006, PPAC-008),UC-IIC-001~003;UC-DEMO-001
MEM-08,AXI,PWM,0x40003000,0x1000,32,R/W,BLOCK-07,yes,寄存器空间 (FS-007, PPAC-009/010),UC-PWM-001/002;UC-DEMO-001
MEM-09,AXI,GPIO,0x40004000,0x1000,32,R/W,BLOCK-08,yes,寄存器空间 (FS-017, PPAC-020),UC-GPIO-001/002;UC-DEMO-001
MEM-10,AXI,INT,0x40005000,0x1000,32,R/W,BLOCK-09,yes,中断控制器寄存器 (FS-008, PPAC-011/019),UC-INT-001~005
MEM-11,AXI,TIMER,0x40006000,0x1000,32,R/W,BLOCK-10,yes,定时器寄存器 (FS-009, PPAC-012),UC-INT-002
MEM-12,AXI,CLK_RST,0x40007000,0x1000,32,R/W,BLOCK-11,yes,时钟分频/门控/软复位 (FS-010/013, PPAC-002/016/017),UC-BOOT-003;UC-PWR-001
MEM-13,AXI,外设保留区,0x40008000,0xFFF8000,32,-,BLOCK-02,yes,保留地址空洞; 访问返回总线错误,-
MEM-14,-,SPI Flash (外部器件),-,-,8,PIO,BLOCK-13,no,固件非易失存储; 无地址映射 经 SPI master PIO 访问 (FS-003/011, PPAC-013),UC-BOOT-004;UC-UART-004~007
MEM-15,AXI,未映射区,0x50000000,0xB0000000,32,-,BLOCK-02,yes,未映射区域; 访问返回总线错误,UC-BUS-001
